text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None
you just do not get it next time you are relying on someone for something important and they balk do not bitch about the left will gladly destroy anyone that gets out of line the right are the forgiving ones,0,0,1,1,0,0,0,1,0
it takes a certain kind of stupid to believe sjw logic where they can say stuff like gender is a social construct but then go on and say men are privileged women are oppressed etc becauseits2017,0,1,0,1,0,0,1,0,0
the looney left liberal sjw cuck a sad delusional weakling brainwashed by the zorg globalist media this degenerate lunatic will just give away our land culture security and way of life whilst watching their own children being raped and killed just as long as they are not called waycist,1,0,0,1,0,0,0,1,0
blacks are only of the yous population therefore black millionaires and billionaires like oprah samuel l jackson colin kaepernick and countless others confirm my point white america made these blacks extremely wealthy and yet sadly most millennial blacks believe the left lie that their opportunities for success are limited,0,0,1,0,1,0,0,0,0
its the islamic signal they are ready and willing to be anally bred by goats or another moslem obviously,1,0,0,1,0,1,0,0,0
believers children get raped god sees and does nothing he either powerless malevolent or nonexistent atheist vs faith,0,1,0,1,0,0,0,0,1
europeans are indo europeans true aryans just like iranians not sandnigger semites,1,0,0,1,1,0,0,0,0
this cathocuck literally argues that to be a good christian you need to be a cuckold ok folks no more making white babies go to the nearest ghetto and adopt a dindu you heard the man cuck schmitz email,1,0,0,1,1,1,0,0,0
fuck the royals big pals with the rothschild what a mix a ginger cunt a thick paddy bastard and a nigger not my princess,1,0,0,1,1,0,1,0,0
you are next kike,1,0,0,1,0,1,0,0,0
europes muzrat problem predicted to take a sharp sudden drop in numbers as soon as ordinary europeans have had enough go into open rebellion ps the uniform on junker should be a communist uniform not german ww2 germany was all about nationalism for their own people,1,0,0,1,0,1,0,0,0
it makes a strong argument anybody guess whether it is a kike or a chink,1,0,0,1,1,0,0,0,0
sometimes i wish white people were not so civilized and we could just massacre these invaders like they would and will most certainly do to us,0,0,1,1,0,0,0,1,0
i am broke in the ghetto way i got my tv and sat and internet being retired is boring,0,0,1,0,0,0,0,1,0
the woman she spoke of was never raped not by six white men not by anybody,0,0,1,1,0,0,0,0,1
no nigger in white house,1,0,0,1,1,0,0,0,0
make sure you signal and bow before any critique of this dumb coon rand,1,0,0,1,1,0,0,0,0
music years later and this record still sounds fucking awfull fuck manchester manchester raped the globe with this pish,0,0,1,1,0,0,0,0,1
if every white man who cares about the survival of our race killed as many niggers and kikes as they could before getting arrested or killed the problem would be solved in no time this is what they fear more than anything,1,0,0,1,0,1,0,0,0
if you give up your guns their boots will be stomped on your face forever inbred muslims and tranny sluts that is until you are dead then the muzzies will throw their allies off roof tops,1,0,0,1,0,1,0,0,0
sweden gov judiciary is at war with it own people this is not a miscarriage of justice it is a deliberate policy to subjugate the swedish people under islam legitimise moslem rape of swedes either the swede go to war now or they are lost,1,0,0,1,0,1,0,0,0
has been suspended on twitter again looks like silicon valley is going to make sure all conservatives are relegated to the gab ghetto for the next election cycle,0,0,1,1,0,0,0,1,0
he talking about hoes be thinking because i buy you shit and give you money they gone get the same treatment,0,1,0,1,0,0,0,0,1
it did not work with the leftists this year now did it people do not respond well to name calling not being retarded or anything but this exactly why leftists lost this year and we do not want to be them in the next time,0,0,1,1,0,0,0,1,0
its beautiful artwork i love the homosexual imagery you like to use did you know that jesus was an arab,0,1,0,1,0,0,1,0,0
kick out the niggers and spics too they are all bottom feeders compared to whites and asians,1,0,0,1,1,0,0,0,0
the diversity of violence is not so diverse,0,1,0,0,0,0,0,0,1
ur mom gay,0,0,1,1,0,0,1,0,0
let them take the faggots,1,0,0,1,0,0,1,0,0
if they are so there are aprox billion muslim on planet earth books me hi nazar aate phr,0,1,0,0,0,1,0,0,0
to all my muslim homies stay blessed today real,0,1,0,1,0,1,0,0,0
it was a moment when i realized that my friend is actually my gay friend,0,1,0,1,0,0,0,0,1
kashmir lockdown should stay for years just like kashmir pundits stayed refugee for years that would be a perfect poetic justice,0,1,0,1,0,0,0,0,1
millions of conservatives already banned on twatter the mudslime owners do not want a repeat of truth dissemination for,1,0,0,1,0,1,0,0,0
keep waiting sheboon,1,0,0,0,1,0,1,0,0
when women blow everything out of proportion and drink a full gallon of retard juice,0,0,1,1,0,0,1,0,0
in the mudnight hour the muzzie cried more more more,0,1,0,1,0,0,0,0,1
islam is mostly known for tolerance i know because the lolbertarians told me yay freedoms,0,1,0,1,0,1,0,0,0
the kikes and muzzies only pretended to be christian which is why the spanish and the portuguese kicked them out this guy is clueless lol,1,0,0,1,0,1,0,0,0
news flash nigger africa is so racist,1,0,0,1,1,0,0,0,0
i m really a nice person these hoes just be testin my patience,0,0,1,1,0,0,1,0,0
