text,HOF,NOT
hate wen females hit ah nigga with tht bro  i am tryna make you my la sweety  fuck ah bro,1,0
 when you are from the bay but you are really a ny nigga at heart w,1,0
 dear democrats the american people are not stupid they know what spying is and no amount of gaslighting will change th,0,1
 he are not on drugs he just bored i be doing the same shit when i am bored,1,0
 summer i am coming for you  no boring shit  beach days road trips kickbacks and hot days  i am ready i am ready i am,0,1
turn that shit off,1,0
 i know fuck bout cel shading so have some horny instead,1,0
polo ts the only other ones but that is if you feeeling fly fly like bitch do not touch me,1,0
i fucking love life ,1,0
in the newspaper i weak bro this ending has pissed me off,0,1
nobodyangie you getting dick  cus ur ass looks bigger,1,0
 oh look is now sending rudy giuliani to actively seek the assistance of a foreign government to help trump i,0,1
 bitches in real life be bird as fuck and only good for sex i am sick,1,0
hnnnng i need,0,1
it was obvious from the very beginning he always regarded himself as a maverick which the pms letter also suggest,0,1
get surgical with that shit,1,0
i really do not want to start my weekend off this way  yet here i am this vile post should be labeled a lie,0,1
such a fucking beast honestly,1,0
deltarunes tracks is fucking bangers all of them,1,0
 might fuck around and go missing for a few months,1,0
 i mean honestly i have seen a lot of dumb shit on twitter but this one really is the dumbest so congrats emily ur stupid,1,0
 nyc found dog alert hes still missing and hes still at the th somebody is missing him please rt,0,1
have you booked hangman vs orange cassidy yet,0,1
think you are funny,0,1
 holy shit i get the best fucking subs they have louis vuitton bags they are medical students they are lawyers and nurses,1,0
i do not need you are whole life story when your shit is on public record have a look yourself,1,0
 drug dealer i got that for 25me i do not smokedrug dealer  i got edibles and i know yo fat ass eat me,1,0
you are losing fam,0,1
 live congress president rahul gandhi addresses public meeting in hoshangabad madhya pradesh,0,1
 hhhoottttt min way fuck fest w atlas grant avatar akyia ryan powers amp theknights  see this and more,1,0
 watch my son come out looking just like his damn daddy,1,0
 on andrea pirlos th birthday a reminder of the time he had nobody to pass to so just decided to ping the bastard himse,1,0
 i have said on election you are voring for two different americas everything was on ballot and that was not enough your self,0,1
,0,1
 family entertainer movie by  total record uhm close record breaking https,0,1
when i found out bran was going to be king,0,1
damn are you serious i just followed you this morning i left mine at the gym earlier today and now i,0,1
fuck charmander,1,0
that is why some boys fake relationship to fuck,1,0
 there comes a point where you no longer care if there is a light at the end of the tunnel or notyou are just sick of the t,1,0
 you ask do i really give a fuck well here it is in this doink chat  i would not sleep on this,1,0
that new snap filter rlly showed me id fuck up the game if i was a chickima whole ass bad bitch wow,1,0
 look at that ass,1,0
i am assuming you are talking about got but i do not watch that show so i have no idea what you are talking about,1,0
 if thinks i am going to pick up calls at am like i did for mystic messenger you are damn right,1,0
shit that is all that matters and you was never big so let us cut it,0,1
embroidery would be a good place to start children have very small hands that are wellsuited to fine needlework,0,1
 fuck georgia law makers can i say that,1,0
 after talking to them cardi b probably went to the next room and took off her clothes and posted that fucking pussy video on he,1,0
missed the garage sale he usually gets one for fathers day or his birthday to add to his collection,0,1
shame on you,1,0
 eat shit grammar nazis,1,0
 in my dream you are with me,0,1
i forgot how much buying concert tickets stresses me the fuck out,1,0
a bad deal was totally ruled out by the same vile idiot the eu and the rest of the world were going,0,1
i do not like him for a lot of reasons but never thought he played that game,0,1
they really exiled jon like fuck off,1,0
 facetime reconnectingme shit this my chance to hang up,1,0
 james comey is a disgrace to the fbi amp will go down as the worst director in its long and once proud history he broug,1,0
 put yo face in his ass,1,0
president trump has exceeded all of my expectations not only is he a stellar president he is a wonde,0,1
 we want to tell the world that the rulers of this country have looted the people author gladson dungdung wr,0,1
rockets are shitso no championships for james harden and chris paul,1,0
my mom told me once umuntu wahamba they must never come back cos you do not know who you are dealing with babuya beshintshile,0,1
aight imm go listen too igor again i fuck wit that album,1,0
 birth control is being counted as abortion why the fuck are men in charge of being able to make these laws c,1,0
have to keep telling my brain to shut the fuck up so i can get some sleep,1,0
 if you are sick of mosquitos ruining your day this is perfect for youbuy now amp get extra  off use code new10 ,0,1
go uste,0,1
so my dad just told me that he would like to eventually move to colorado even within the next few years bet,0,1
omg this is the stupiest warning i have ever seen i amgoing to go deaf from thunder really,0,1
 the importer pays the tariffs you fucking moron you have levied a sales tax on yours own citizens,1,0
 i have had this dress for over a yet and i just now realized the bitch has p o c k e t s,1,0
great news thank you pentagon to transfer 15 billion from afghanistan funding for trumpsbo,0,1
 we hate nazis right we extra hate nazis who work for the nc division of prisons right glad you are on board this,1,0
 while shias are protesting against enforced disappearances outside president s house banned sectarian outfit,0,1
 after trump retweets account it changes name to fuck donald trump,1,0
bitch idgaf lmao,1,0
 modi will never again represent the myriad dreams and aspirations of  then he was a messiah ushering in a future too,1,0
i do this shit with my eyes closed,1,0
 if muslims hate dogs beerbacon bikinis jesus amp freedom of speech  why exactly do they come to america,1,0
oh shit here we go again deixem de estar,1,0
what the fuck and i thought that learning spanish was difficult this idiot come with that inclusive l,1,0
 if he truly ever thought that james was a danger to society or a predator,1,0
do you like to plan things out or be spontaneous i want to say i am a planner but everything i do is a spur of th,0,1
and all the other complete and utter shite he spouts  virtually everything he says is utter shite,1,0
you are sifting through the treasures and trash of your inner w more for virgo,0,1
strawberry kiwi koolaid is my shit,1,0
 are not no question if i want it i need it,0,1
 mark this legendary date taekookersthe day that taekook nation finally breathedtmay fucking eighteen twentynine,1,0
